pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(24, 14), (151, 28), (100, 186)], fitness=(0.39755006260294934,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(148, 143), (80, 110), (5, 48)], fitness=(0.0263506663315215,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(161, 188), (10, 118), (67, 14)], fitness=(0.026377003435370083,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(19, 75), (133, 32), (141, 51)], fitness=(0.026352375376251014,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(153, 134), (108, 27), (43, 195)], fitness=(0.0,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(195, 178), (58, 119), (188, 50)], fitness=(0.026380455078201637,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(40, 190), (40, 98), (171, 170)], fitness=(0.026313575262214672,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(143, 117), (159, 101), (116, 22)], fitness=(0.050104689010084025,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(184, 153), (183, 148), (145, 23)], fitness=(1.0,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(20, 38), (151, 94), (174, 125)], fitness=(0.02633734715906233,)
pop_size=5, num_gens=5, cxpb=0.5, mutpb=0.9, best_individual=[(132, 193), (160, 23), (198, 9)], fitness=(0.026338561566436214,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(44, 179), (99, 146), (171, 147)], fitness=(0.026354415154749233,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(107, 115), (40, 132), (4, 67)], fitness=(0.02633606224982432,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(30, 84), (127, 129), (156, 78)], fitness=(0.026371770549507012,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(63, 11), (54, 95), (197, 110)], fitness=(0.4239089808532448,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(15, 58), (24, 149), (149, 172)], fitness=(0.988371204512865,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(25, 5), (94, 144), (50, 156)], fitness=(0.09039410541939752,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(36, 186), (116, 177), (103, 111)], fitness=(1.0,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(88, 110), (136, 59), (109, 24)], fitness=(0.02633684803896441,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(22, 65), (114, 39), (186, 124)], fitness=(0.026356634052984718,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(130, 28), (174, 67), (143, 127)], fitness=(0.026333876336708473,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(178, 61), (129, 98), (111, 153)], fitness=(0.026380034749206027,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(143, 163), (56, 157), (14, 85)], fitness=(0.02636927307849446,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(81, 96), (126, 72), (139, 45)], fitness=(0.02637325799207635,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(79, 19), (156, 183), (59, 167)], fitness=(0.4452557649790774,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(126, 62), (185, 102), (138, 133)], fitness=(0.0,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(11, 22), (156, 33), (114, 131)], fitness=(0.5617113753845793,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(127, 32), (162, 87), (161, 139)], fitness=(0.02636782143691574,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(195, 105), (173, 162), (37, 82)], fitness=(0.02632378005137992,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(175, 86), (99, 106), (60, 9)], fitness=(0.02635654747530236,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(138, 16), (116, 28), (18, 73)], fitness=(0.026377888423414486,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(4, 131), (69, 62), (148, 56)], fitness=(0.02636273298721048,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(87, 171), (28, 94), (108, 32)], fitness=(0.0263734911344915,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(19, 188), (141, 140), (28, 25)], fitness=(0.9615322300050575,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(155, 91), (111, 59), (146, 4)], fitness=(0.026326561111381097,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(76, 144), (94, 70), (24, 19)], fitness=(0.28353578952077163,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(28, 4), (71, 30), (26, 163)], fitness=(0.026361896791269657,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(187, 12), (108, 94), (9, 183)], fitness=(0.026327179156326763,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(196, 172), (12, 134), (143, 43)], fitness=(0.4032435013418838,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(67, 181), (34, 125), (166, 97)], fitness=(0.026382789392965345,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(186, 139), (153, 26), (46, 197)], fitness=(0.9878490317701224,)
pop_size=5, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(164, 142), (91, 41), (12, 142)], fitness=(0.02636963852804297,)









pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(155, 164), (27, 136), (40, 28)], fitness=(0.026357386516327463,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(132, 143), (165, 131), (102, 25)], fitness=(0.02635199159589363,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(161, 42), (158, 151), (161, 155)], fitness=(0.02637740806087252,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(169, 32), (88, 68), (25, 98)], fitness=(0.02634131799935624,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(81, 141), (46, 103), (25, 32)], fitness=(0.02636363732837088,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(33, 124), (16, 108), (121, 30)], fitness=(0.02632024557437873,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(122, 176), (152, 110), (32, 28)], fitness=(0.0263783380862902,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(162, 133), (112, 62), (20, 47)], fitness=(0.026376816893755373,)
